Title,Abstract,ArticleURL,Year,Cites,Authors,SELECTED
Evaluation of Large Scale Language Models on Solving Math Word Problems with Difficulty Grading,"… This research aims to evaluate the answer accuracy of large language models, … mathematical reasoning techniques, and other areas. Thus, the development of large language models …",https://ieeexplore.ieee.org/abstract/document/10391224/,2023,1,"X He, H Gao, J He, C Sun",1
MAF: Multi-aspect feedback for improving reasoning in large language models,… on a variety of complex reasoning tasks such as Mathematical Reasoning (Shi et al.… Figure 10: Iterative Refinement prompt from Self-Refine for Mathematical Reasoning …,https://arxiv.org/abs/2310.12426,2023,30,"D Nathani, D Wang, L Pan, WY Wang",1
Query and response augmentation cannot help out-of-domain math reasoning generalization,"… In math reasoning with large language models (LLMs), fine-tuning data augmentation by … Mathematical reasoning is a crucial ability to examine large language models (Cobbe et al.…",https://openreview.net/forum?id=N1hk66bz5m,2023,22,"C Li, Z Yuan, H Yuan, G Dong, K Lu, J Wu, C Tan…",1
Mugglemath: Assessing the impact of query and response augmentation on math reasoning,… Mathematical reasoning is a crucial ability to examine large language models (Cobbe et al.… data can be synthesized through powerful large language models by relying solely on simple …,https://arxiv.org/abs/2310.05506,2023,28,"C Li, Z Yuan, H Yuan, G Dong, K Lu, J Wu…",1
Pal: Program-aided language models,… Large language models (LLMs) have demonstrated an impressive ability to perform arithmetic … Table 1: Problem solve rate (%) on mathematical reasoning datasets. The highest number …,https://proceedings.mlr.press/v202/gao23f,2023,1040,"L Gao, A Madaan, S Zhou, U Alon…",0
How does GPT-2 compute greater-than?: Interpreting mathematical abilities in a pre-trained language model,… NumGLUE: A suite of fundamental yet challenging mathematical reasoning tasks. In … Memorization without overfitting: Analyzing the training dynamics of large language models. …,https://proceedings.neurips.cc/paper_files/paper/2023/hash/efbba7719cc5172d175240f24be11280-Abstract-Conference.html,2023,258,"M Hanna, O Liu, A Variengien",1
"Adapting large language models for education: Foundational capabilities, potentials, and challenges",… for semi-structured mathematical reasoning. arXiv preprint … A survey of deep learning for mathematical reasoning. arXiv … Empowering mathematical reasoning for large language models …,https://www.academia.edu/download/119620398/2401.08664.pdf,2023,77,"Q Li, L Fu, W Zhang, X Chen, J Yu, W Xia…",1
Automatic model selection with large language models for reasoning,"… method’s applicability to a spectrum of reasoning tasks, extending beyond mathematical reasoning. … Chain of thought prompting elicits reasoning in large language models. ArXiv, abs/…",https://arxiv.org/abs/2305.14333,2023,47,"JX Zhao, Y Xie, K Kawaguchi, J He, MQ Xie",1
Glore: Evaluating logical reasoning of large language models,"… TaxiNLI [24] is an NLI dataset that has been re-annotated based on MNLI [65], with categories include logical categories such as connectives, mathematical reasoning, and deduction. …",https://arxiv.org/abs/2310.09107,2023,11,"Z Teng, R Ning, J Liu, Q Zhou, Y Zhang",1
Can large language models explain themselves? a study of llm-generated self-explanations,"… Abstract—Large language models (LLMs) such as ChatGPT have demonstrated superior … ) tasks including sentiment analysis, mathematical reasoning and summarization. Furthermore, …",https://arxiv.org/abs/2310.11207,2023,82,"S Huang, S Mamidanna, S Jangam, Y Zhou…",0
MathPrompter: Mathematical Reasoning using Large Language Models,"Large Language Models (LLMs) have limited performance when solving arithmetic reasoning tasks and often provide incorrect answers. Unlike natural language understanding, math …",https://virtual2023.aclweb.org/paper_I14.html,2023,2,"S Imani, L Du, H Shrivastava",0
Conditions for length generalization in learning reasoning skills,… This work was initially inspired by a group discussion related to large language models at the … [MVTF23] created a dataset specifically for mathematical reasoning that can be perturbed. …,https://arxiv.org/abs/2311.16173,2023,9,"C Xiao, B Liu",1
Trace: A comprehensive benchmark for continual learning in large language models,"… Aligned large language models (LLMs) demonstrate exceptional capabilities in task-solving… capabilities, code generation, and mathematical reasoning. All datasets are standardized …",https://arxiv.org/abs/2310.06762,2023,42,"X Wang, Y Zhang, T Chen, S Gao, S Jin, X Yang…",0
Reliable natural language understanding with large language models and answer set programming,… Solving word problems in algebra requires extracting information from the question (interpreting its language) and performing mathematical reasoning to come up with an answer. …,https://arxiv.org/abs/2302.03780,2023,30,"A Rajasekharan, Y Zeng, P Padalkar…",0
Trigo: Benchmarking formal mathematical proof reduction for generative language models,… study the generative LM’s ability on both formal and mathematical reasoning. The code is available.… We leave to future work on how to enable large language models to acquire complex …,https://arxiv.org/abs/2310.10180,2023,15,"J Xiong, J Shen, Y Yuan, H Wang, Y Yin, Z Liu…",1
Veritymath: Advancing mathematical reasoning by self-verification through unit consistency,"… In this study, we analyzed open-source Large Language Models (LLMs) and pinpointed their struggle with math problems involving multiple units, highlighting a key improvement area. …",https://arxiv.org/abs/2311.07172,2023,6,"VTY Han, R Puduppully, NF Chen",1
The confidence-competence gap in large language models: A cognitive study,"… In addition, models like LLaMA-70B shows high confidence score for LSAT reasoning and Mathematical Reasoning; however, they possess lower confidence score in the Truthful Q&A …",https://arxiv.org/abs/2309.16145,2023,10,"AK Singh, S Devkota, B Lamichhane, U Dhakal…",1
A systematic evaluation of large language models for natural language generation tasks,"… Recent efforts have evaluated large language models (LLMs) in areas such as commonsense reasoning, mathematical reasoning, and code generation. However, to the best of our …",https://aclanthology.org/2023.ccl-2.4/,2023,12,"N Xuanfan, L Piji",0
From complex to simple: Unraveling the cognitive tree for reasoning with small language models,"… For machines, recently, Large Language Models (LLMs) have demonstrated their abilities to … System work to incrementally produce a mathematical reasoning problem. At each step, the …",https://arxiv.org/abs/2311.06754,2023,11,"J Yan, C Wang, T Zhang, X He, J Huang…",1
Design of chain-of-thought in math problem solving,… Math problem solving is an ideal task to assess the multi-step reasoning abilities of large language models (LLMs). LLMs exhibit remarkable reasoning abilities with the use of chains-of-…,https://arxiv.org/abs/2309.11054,2023,8,"Z Jie, TQ Luong, X Zhang, X Jin, H Li",1
Analyzing ChatGPT's mathematical deficiencies: Insights and contributions,"… ’s mathematical reasoning abilities, which have not been analyzed in previous research. Moreover, while Borji [2023] briefly touches on various topics such as mathematical reasoning, …",https://aclanthology.org/2023.rocling-1.22.pdf,2023,22,"V Cheng, Z Yu",1
Through the lens of core competency: Survey on evaluation of large language models,… Mathematical Reasoning Mathematical reasoning … and benchmarks for mathematical reasoning abilities. GSM8K (Cobbe … widely used benchmark for mathematical reasoning in the LLM …,https://arxiv.org/abs/2308.07902,2023,48,"Z Zhuang, Q Chen, L Ma, M Li, Y Han, Y Qian…",1
AlignedCoT: Prompting large language models via native-speaking demonstrations,"… Large Language Models prompting, such as using in-context demonstrations, is a … and solid complex reasoning (eg, mathematical reasoning, commonsense reasoning), and has the …",https://arxiv.org/abs/2311.13538,2023,2,"Z Yang, Y Huang, J Xiong, L Feng, X Liang…",1
Enhancing mathematical capabilities through ChatGPT and similar generative artificial intelligence: Roles and challenges in solving mathematical problems,"… In the dynamic realm of artificial intelligence, Large Language Models (LLMs) have … in understanding proofs, theorems, and mathematical reasoning. In research, it provides literature …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4603237,2023,92,N Rane,1
Retrieval-augmented multi-modal chain-of-thoughts reasoning for large language models,"… advancements due to the emergence of Large Language Models (LLMs), which have … 2023a) is designed to evaluate the mathematical reasoning capabilities of LLMs and LMMs …",https://arxiv.org/abs/2312.01714,2023,20,"B Liu, C Lyu, Z Min, Z Wang, J Su, L Wang",1
Large language models for compiler optimization,… This type of mathematical reasoning is a known weakness of LLMs [24]. Sometimes the model generates correctly-optimized code but fails to produce the pass list needed to achieve it. …,https://arxiv.org/abs/2309.07062,2023,75,"C Cummins, V Seeker, D Grubisic, M Elhoushi…",0
Toolchain*: Efficient action space navigation in large language models with a* search,"… For mathematical reasoning problems, we employ a similar set of baselines as in the tool-use tasks. However, we exclude ReAct and AdaPlanner from mathematical reasoning …",https://arxiv.org/abs/2310.13227,2023,86,"Y Zhuang, X Chen, T Yu, S Mitra, V Bursztyn…",0
Brain in a vat: On missing pieces towards artificial general intelligence in large language models,… first comprehensively review existing evaluations of Large Language Models (LLMs) using both … Mathematical Reasoning Mathematical reasoning is one of the most studied domains in …,https://arxiv.org/abs/2307.03762,2023,23,"Y Ma, C Zhang, SC Zhu",0
Algebra error classification with large language models,"… This observation suggests that DA does provide some context on basic math vocabulary and mathematical reasoning, but this context is sufficiently learned from task fine-tuning within …",https://link.springer.com/chapter/10.1007/978-3-031-36272-9_30,2023,69,"H McNichols, M Zhang, A Lan",1
Tree of thoughts: Deliberate problem solving with large language models,"… Game of 24 is a mathematical reasoning challenge, where the goal is to use 4 numbers and basic arithmetic operations (+-*/) to obtain 24. For example, given input “4 9 10 13”, a …",https://proceedings.neurips.cc/paper/2023/hash/271db9922b8d1f4dd7aaef84ed5ac703-Abstract.html,2023,3835,"S Yao, D Yu, J Zhao, I Shafran…",1
"Ovm, outcome-supervised value models for planning in mathematical reasoning","… Large language models (LLMs) often struggle with maintaining accuracy throughout … Our experiments on two multi-step mathematical reasoning datasets, GSM8K and Game of 24, …",https://arxiv.org/abs/2311.09724,2023,104,"F Yu, A Gao, B Wang",1
Large Language Model for Geometric Algebra: A Preliminary Attempt,"… Large Language Models (LLMs) play a significant role in geometric algebra learning. … graph has the potential to augment the mathematical reasoning capabilities of LLMs. Finally, build …",https://link.springer.com/chapter/10.1007/978-3-031-50078-7_19,2023,3,"J Wang, Z Wang, H Wang, W Luo, L Yuan, G Lü…",1
# instag: Instruction tagging for analyzing supervised fine-tuning of large language models,"… The datasets for mathematical reasoning (MATH, GSM8K) … Datasets for mathematical reasoning and code generation … the uniqueness of mathematical reasoning and code generation …",https://arxiv.org/abs/2308.07074,2023,147,"K Lu, H Yuan, Z Yuan, R Lin, J Lin, C Tan…",0
Evaluating transformer language models on arithmetic operations using number decomposition,"… Abstract In recent years, Large Language Models such as GPT-3 showed remarkable … the tasks analysed, suggesting that there is large room for improving mathematical reasoning …",https://arxiv.org/abs/2304.10977,2023,27,"M Muffo, A Cocco, E Bertino",1
Dynamic voting for efficient reasoning in large language models,"… by multi-path voting using large language models, this paper … tive reasoning methods with large language models. Future … are a helpful assistant good at mathematical reasoning. user: …",https://aclanthology.org/2023.findings-emnlp.203/,2023,6,"M Xue, D Liu, W Lei, X Ren, B Yang, J Xie…",1
ClinicalGPT: large language models finetuned with diverse medical data and comprehensive evaluation,"… and fine-tuning large language models has brought about significant … of natural language, code, and mathematical reasoning tasks. … Large language models are also effective for writing …",https://arxiv.org/abs/2306.09968,2023,90,"G Wang, G Yang, Z Du, L Fan, X Li",0
"Mathvista: Evaluating math reasoning in visual contexts with gpt-4v, bard, and other large multimodal models","… Abstract: Large Language Models (LLMs) and Large … , but their ability in mathematical reasoning in visual contexts has … visual perception and mathematical reasoning. However, GPT-…",https://openreview.net/forum?id=rmjgD9j5sH,2023,56,"P Lu, H Bansal, T Xia, J Liu, C Li, H Hajishirzi, H Cheng…",0
An interdisciplinary outlook on large language models for scientific research,"… For example, the question of how to use LLMs for mathematical reasoning and problem-solving is in itself an active field of research [95, 96], as some state-of-the-art LLMs when applied …",https://arxiv.org/abs/2311.04929,2023,34,"J Boyko, J Cohen, N Fox, MH Veiga, JI Li, J Liu…",0
Meditron-70b: Scaling medical pretraining for large language models,"… Thus, in this setting, where no explicit reasoning (eg, mathematical reasoning) is required from the model, we decide against using code in the final pre-training mixture. …",https://arxiv.org/abs/2311.16079,2023,413,"Z Chen, AH Cano, A Romanou, A Bonnet…",0
Large language models are in-context semantic reasoners rather than symbolic reasoners,"… Lample and Charton [49] focus on applying LLM-based models to mathematical reasoning, proposing a framework that combines deep learning with symbolic mathematics to perform …",https://arxiv.org/abs/2305.14825,2023,79,"X Tang, Z Zheng, J Li, F Meng, SC Zhu, Y Liang…",1
Finding inductive loop invariants using large language models,"… This keeps the focus on basic mathematical reasoning, without bringing in concerns of modeling heap semantics in C. We also filter out programs with ambiguous semantics.We also …",https://arxiv.org/abs/2311.07948,2023,40,"A Kamath, A Senthilnathan, S Chakraborty…",0
First-step advantage: Importance of starting right in multi-step math reasoning,"… Our approach We use large language models (LLMs) to generate the first step of the … Although the first-step guidance varies by task, for mathematical reasoning tasks, we provide the …",https://arxiv.org/abs/2311.07945,2023,2,"K Jain, M Miller, N Tandon, K Shridhar",1
Universal self-consistency for large language model generation,"… reasoning paths sampled from large language models (LLMs). … of benchmarks, including mathematical reasoning, code … For mathematical reasoning benchmarks, we compare USC …",https://arxiv.org/abs/2311.17311,2023,142,"X Chen, R Aksitov, U Alon, J Ren, K Xiao, P Yin…",1
Whether Large Language Models Learn at the Inference Stage? Effects of Active Learning and Labelling with LLMs on their Reasoning,"… For arithmetic reasoning, was used GSM-8K [32], mathematical reasoning benchmarks and for Q &A reasoning was used Bamboogle [33], a dataset of compositional questions. With …",https://link.springer.com/chapter/10.1007/978-3-031-67008-4_4,2023,1,"V Kulikov, R Neychev, I Makarov",1
Evaluation of hallucination and robustness for large language models,"… Overall, it seems that current LLMs lack the capacity for mathematical reasoning. Although … of genuine mathematical reasoning and reliance on the memorization of specific instances. …",https://ieeexplore.ieee.org/abstract/document/10430067/,2023,9,"R Hu, J Zhong, M Ding, Z Ma…",1
Assessing gpt4-v on structured reasoning tasks,"… unlock further uses for large language models. Recently, the … tasks, such as mathematical reasoning, visual data analysis, … We evaluate mathematical reasoning given a visual context …",https://arxiv.org/abs/2312.11524,2023,14,"M Singh, J Cambronero, S Gulwani, V Le…",1
Mlcopilot: Unleashing the power of large language models in solving machine learning tasks,"… They encompass a broader spectrum of cognitive skills, including mathematical reasoning and … The distinction is grounded in the inherent limitations of Large Language Models (LLMs) …",https://arxiv.org/abs/2304.14979,2023,64,"L Zhang, Y Zhang, K Ren, D Li, Y Yang",0
Hint of Thought prompting: an explainable and zero-shot approach to reasoning tasks with LLMs,… 2.1 Large language models and prompting … The most classic reasoning task is mathematical reasoning. PoT (Chen et … -of-thought prompting elicits reasoning in large language models. …,https://arxiv.org/abs/2305.11461,2023,2,"I Lei, Z Deng",1
Challenges and applications of large language models,… Large Language Models (LLMs) went from non-existent to ubiquitous in the machine learning … Here is a mathematical reasoning question. You need to apply arithmetic operations to …,https://arxiv.org/abs/2307.10169,2023,702,"J Kaddour, J Harris, M Mozes, H Bradley…",0
Critic: Large language models can self-correct with tool-interactive critiquing,"… For example, when applied to ChatGPT, CRITIC attains 7.7 F1 enhancements across three QA tasks, 7.0% absolute gains on three mathematical reasoning tasks, and a 79.2% …",https://arxiv.org/abs/2305.11738,2023,445,"Z Gou, Z Shao, Y Gong, Y Shen, Y Yang…",1
Yayi 2: Multilingual open-source large language models,"… The evaluation dimensions encompass knowledge and language understanding, mathematical reasoning, and programming ability. Comparative base models include MPT-30B (…",https://arxiv.org/abs/2312.14862,2023,6,"Y Luo, Q Kong, N Xu, J Cao, B Hao, B Qu…",1
Adapting large language models for content moderation: Pitfalls in data engineering and supervised fine-tuning,"… (SFT) on open-source large language models to align them with the … to assess the feasibility of applying large language models … by previous research in mathematical reasoning [9, 27]. …",https://arxiv.org/abs/2310.03400,2023,35,"H Ma, C Zhang, H Fu, P Zhao, B Wu",0
Beyond traditional teaching: the potential of large language models and chatbots in graduate engineering education,… of large language models (LLMs) … mathematical reasoning: The domain of graduate-level fluid mechanics 647 demands profound comprehension and intricate mathematical reasoning…,https://www.researchgate.net/profile/Ibrahem-Alshybani-2/publication/385279904_Beyond_Traditional_Teaching_The_Potential_of_Large_Language_Models_and_Chatbots_in_Graduate_Engineering_Education/links/671d923655a5271cdedd5f1c/Beyond-Traditional-Teaching-The-Potential-of-Large-Language-Models-and-Chatbots-in-Graduate-Engineering-Education.pdf,2023,43,"M Abedi, I Alshybani, MRB Shahadat…",0
LLM vs ITP,"… As shown by the GHOSTS dataset, large language models (LLMs) can also serve as searchable libraries of mathematics, given their capacity to ingest vast amounts of mathematical …",https://mathai2023.github.io/papers/19.pdf,,0,"S Frieder, M Trimmel, R Alawadhi, K Gy",1
Clean-eval: Clean evaluation on contaminated large language models,"… Yet, a performance gap exists between the possible no-contamination and Clean-Eval settings, especially in more intricate tasks involving mathematical reasoning, such as GSM8K and …",https://arxiv.org/abs/2311.09154,2023,21,"W Zhu, H Hao, Z He, Y Song, Y Zhang, H Hu…",1
Infimm-eval: Complex open-ended reasoning evaluation for multi-modal large language models,… Recent advancements in the Multimodal Large Language Models (… reasoning capabilities of Multimodal Large Language Models. … assessment of mathematical reasoning capabilities. …,https://arxiv.org/abs/2311.11567,2023,7,"X Han, Q You, Y Liu, W Chen, H Zheng, K Mrini…",1
Procedural text mining with large language models,… from ChatGPT4 over a relatively simple mathematical reasoning task. The first sentence is … Procedural Text Mining and Large Language Models (LLMs). In response to the challenges …,https://dl.acm.org/doi/abs/10.1145/3587259.3627572,2023,15,"A Rula, J D'Souza",0
Rewoo: Decoupling reasoning from observations for efficient augmented language models,"… (ALMs) blend the reasoning capabilities of Large Language Models (LLMs) with tools that … logic, such as commonsense reasoning, mathematical reasoning, and symbolic reasoning [2]. …",https://arxiv.org/abs/2305.18323,2023,90,"B Xu, Z Peng, B Lei, S Mukherjee, Y Liu…",1
Large language models for robotics: A survey,"… Amidst the swift progress and extensive proliferation of large language models (LLMs), their … reasoning and planning capabilities, such as logical and mathematical reasoning [134…",https://arxiv.org/abs/2311.07226,2023,193,"F Zeng, W Gan, Y Wang, N Liu, PS Yu",0
An investigation of applying large language models to spoken language learning,"… Self-consistency: Although the answers to the SLI questions did not have as many reasoning paths as mathematical reasoning questions, we found that self-consistency improved the …",https://www.mdpi.com/2076-3417/14/1/224,2023,19,"Y Gao, B Nuchged, Y Li, L Peng",0
Investigating the effectiveness of chatgpt in mathematical reasoning and problem solving: Evidence from the vietnamese national high school graduation examination,… In their discussion of the possible advantages and difficulties of employing large language models in … the implications of large language models for medical education and knowledge …,https://arxiv.org/abs/2306.06331,2023,101,"XQ Dao, NB Le",1
Beyond text: A deep dive into large language models' ability on understanding graph data,"… Large language models (LLMs) have achieved impressive … unprecedented advancements in large language models (LLMs) [30, … activities such as mathematical reasoning and Question …",https://arxiv.org/abs/2310.04944,2023,34,"Y Hu, Z Zhang, L Zhao",0
Studenteval: A benchmark of student-written prompts for large language models of code,"… Compare the prompt above, which requires mathematical reasoning that might challenge many programmers, with a trivial problem from the same benchmark [7]: Return length of given …",https://arxiv.org/abs/2306.04556,2023,45,"HML Babe, S Nguyen, Y Zi, A Guha…",0
Evaluating large language models for radiology natural language processing,"… research study that assesses the performance of large language models (ie GPT-4) on … three aspects of Subject Knowledge, Mathematical Reasoning, and Programming. The findings …",https://arxiv.org/abs/2307.13693,2023,48,"Z Liu, T Zhong, Y Li, Y Zhang, Y Pan, Z Zhao…",0
Cleva: Chinese language models evaluation platform,"… Large language models (LLMs) have … in mathematical reasoning, test instances here only require the model to execute one-step arithmetic, while MWPs in mathematical reasoning are …",https://arxiv.org/abs/2308.04813,2023,17,"Y Li, J Zhao, D Zheng, ZY Hu, Z Chen, X Su…",1
Improving diversity of demographic representation in large language models via collective-critiques and self-voting,"… However, merely taking techniques designed for mathematical reasoning and applying … fully eliminate the problem of bias in large language models. The model can merely reduce the …",https://arxiv.org/abs/2310.16523,2023,41,"P Lahoti, N Blumm, X Ma, R Kotikalapudi…",0
Critique ability of large language models,… A dataset comprises 8.5K mathematical reasoning problems and is widely used for evaluating the capabilities of models in both arithmetic reasoning and the composition of …,https://arxiv.org/abs/2310.04815,2023,20,"L Luo, Z Lin, Y Liu, L Shu, Y Zhu, J Shang…",1
Making harmful behaviors unlearnable for large language models,"… As the number of harmful data increases, the mathematical reasoning capability of Fine-tuned LLMs gradually diminishes. This phenomenon is observed both in direct fine-tuning and in …",https://arxiv.org/abs/2311.02105,2023,21,"X Zhou, Y Lu, R Ma, T Gui, Q Zhang…",0
Large language models as fiduciaries: a case study toward robustly communicating with artificial intelligence through legal standards,"… variety of avenues, including pre-training large language models (LLMs) on legal data; fine-… on technical mathematics papers leads to better mathematical reasoning,79 and training on …",https://arxiv.org/abs/2301.10095,2023,45,JJ Nay,0
Rethinking channel dimensions to isolate outliers for low-bit weight quantization of large language models,"… Large Language Models (LLMs) have recently demonstrated remarkable success across … 2023a;b), we evaluate instruction-tuned models on mathematical reasoning with Chain-of-…",https://arxiv.org/abs/2309.15531,2023,25,"JH Heo, J Kim, B Kwon, B Kim, SJ Kwon…",0
Towards logiglue: A brief survey and a benchmark for analyzing logical reasoning capabilities of language models,"… Recently, the emergence of large language models (LLMs) has … We also assess various large language models (LLMs) … of fundamental yet challenging mathematical reasoning tasks. In …",https://arxiv.org/abs/2310.00836,2023,30,"M Luo, S Kumbhar, M Parmar, N Varshney…",
Spoken language intelligence of large language models for language learning,"… Self-Consistency Although the solution to these phonological problems does not have as many reasoning paths as mathematical reasoning questions, we found that self-consistency …",https://arxiv.org/abs/2308.14536,2023,7,"L Peng, B Nuchged, Y Gao",
Tree-based representation and generation of natural and mathematical language,… modeling mathematical language: representation and mathematical reasoning. A line of work … All large language models are prone to reflecting biases seen in their training data. Since …,https://arxiv.org/abs/2302.07974,2023,24,"A Scarlatos, A Lan",
Domain specialization as the key to make large language models disruptive: A comprehensive survey,"… survey on domain specification techniques for large language models, an emerging direction critical for … The study of domain specialization further explores mathematical reasoning. …",https://arxiv.org/abs/2305.18703,2023,203,"C Ling, X Zhao, J Lu, C Deng, C Zheng, J Wang…",
VNHSGE: VietNamese High School Graduation Examination Dataset for Large Language Models,"… The VNHSGE mathematics dataset also includes straightforward to complicated questions, necessitating strong mathematical reasoning skills from LLMs in both question answering …",https://arxiv.org/abs/2305.12199,2023,45,"XQ Dao, NB Le, TD Vo, XD Phan, BB Ngo…",
Tinygsm: achieving> 80% on gsm8k with small language models,"… However, similar to self-improvements, prompting is targeted at large language models and … ) on mathematical reasoning. Ideally, enhancing this mathematical reasoning ability should …",https://arxiv.org/abs/2312.09241,2023,60,"B Liu, S Bubeck, R Eldan, J Kulkarni, Y Li…",
Restgpt: Connecting large language models with real-world restful apis,"… -to-date information and carrying out precise mathematical reasoning, early work leverages simple … Despite the notable advancements in incorporating tools for large language models, …",https://arxiv.org/abs/2306.06624,2023,150,"Y Song, W Xiong, D Zhu, W Wu, H Qian, M Song…",
Decomposing uncertainty for large language models through input clarification ensembling,"… Nonetheless, it’s imperative to note that our method relies on the well-calibrated nature of LLMs when applied to factoid QA and mathematical reasoning tasks. A well-calibrated LLM …",https://arxiv.org/abs/2311.08718,2023,73,"B Hou, Y Liu, K Qian, J Andreas, S Chang…",
Federated prompting and chain-of-thought reasoning for improving llms answering,… cloud-based Large Language Models (LLMs). Our study focuses on a typical situation where users ask similar queries that involve identical mathematical reasoning steps and problem-…,https://link.springer.com/chapter/10.1007/978-3-031-40292-0_1,2023,30,"X Liu, T Pang, C Fan",
Beyond human data: Scaling self-training for problem-solving with language models,"… Large Language Models (LLMs) are revolutionizing the landscape of deep learning, … Our empirical findings reveal significant advancements in both mathematical reasoning and code …",https://arxiv.org/abs/2312.06585,2023,170,"A Singh, JD Co-Reyes, R Agarwal, A Anand…",
Conceptual structure coheres in human cognition but not in large language models,"… tasks with veridical solutions such as mathematical reasoning and knowledge retrieval, we … In contrast, representations of word meanings in large language models depend essentially …",https://arxiv.org/abs/2304.02754,2023,20,"S Suresh, K Mukherjee, X Yu, WC Huang…",
Chattwin: Toward automated digital twin generation for data center via large language models,"… the scene description document with the right hierarchical structure, the detailed values are always unreasonably set to zero or a random value due to the poor mathematical reasoning …",https://dl.acm.org/doi/abs/10.1145/3600100.3623719,2023,29,"M Li, R Wang, X Zhou, Z Zhu, Y Wen…",
Kwaiyiimath: Technical report,"… Recent advancements in large language models (LLMs) have demonstrated remarkable … In this report, we focus on how to enhance the mathematical reasoning capabilities of LLM …",https://arxiv.org/abs/2310.07488,2023,7,"J Fu, L Lin, X Gao, P Liu, Z Chen, Z Yang…",
Leandojo: Theorem proving with retrieval-augmented language models,… Large language models (LLMs) have shown promise in … Mathematical Reasoning in Natural Language. We focus on … a plethora of work on mathematical reasoning in natural language […,https://proceedings.neurips.cc/paper_files/paper/2023/hash/4441469427094f8873d0fecb0c4e1cee-Abstract-Datasets_and_Benchmarks.html,2023,341,"K Yang, A Swope, A Gu, R Chalamala…",
Beyond one-model-fits-all: A survey of domain specialization for large language models,"… including open-access large language models such as LLaMA, … specialization further explores mathematical reasoning. … , the rapid advancement of large language models has sparked …",https://www.academia.edu/download/103962038/2305.18703.pdf,2023,57,"X ZHAO, J LU, C DENG, C ZHENG, J WANG…",
Cheap and quick: Efficient vision-language instruction tuning for large language models,"… Numglue: A suite of fundamental yet challenging mathematical reasoning tasks. The 60th Annual Meeting of the Association for Computational Linguistics (ACL), 2022. …",https://proceedings.neurips.cc/paper_files/paper/2023/hash/5e84e4413268b713f0d4a1b23a9dae57-Abstract-Conference.html,2023,171,"G Luo, Y Zhou, T Ren, S Chen…",
Time travel in llms: Tracing data contamination in large language models,"… data from downstream tasks in the training data of large language models (LLMs), is a potential major issue in … This dataset is ideal for tasks involving multi-step mathematical reasoning. …",https://arxiv.org/abs/2308.08493,2023,183,"S Golchin, M Surdeanu",
G-llava: Solving geometric problem with multi-modal large language model,"… Large language models (LLMs) have shown re… LLMs for mathematical reasoning problems presented in a textual form. Nevertheless, a substantial proportion of mathematical reasoning …",https://arxiv.org/abs/2312.11370,2023,41,"J Gao, R Pi, J Zhang, J Ye, W Zhong, Y Wang…",
Openwebmath: An open dataset of high-quality mathematical web text,"… Advances in large language models have opened up new … Among these problems, mathematical reasoning has drawn … the performance of large language models and inspiring new …",https://arxiv.org/abs/2310.06786,2023,106,"K Paster, MD Santos, Z Azerbayev, J Ba",
A theory for emergence of complex skills in language models,"… Smaller clusters may correspond to specialized topics, eg, finance, science, mathematical reasoning, etc. We assume each piece of text appears in only one cluster but skills may …",https://arxiv.org/abs/2307.15936,2023,104,"S Arora, A Goyal",
Domino: A dual-system for multi-step visual language reasoning,"… new pretraining objects for chart derendering and mathematical reasoning. ChartT5 (Zhou et al., … Chain of thought prompting elicits reasoning in large language models. In Alice H. Oh, …",https://arxiv.org/abs/2310.02804,2023,13,"P Wang, O Golovneva, A Aghajanyan, X Ren…",
Synthetic prompting: Generating chain-of-thought demonstrations for large language models,"… 2021) is a dataset of 1,319 diverse grade school math word problems, curated to evaluate multi-step mathematical reasoning abilities of LLMs. (2) GSM-Hard is a harder version of …",https://proceedings.mlr.press/v202/shao23a,2023,129,"Z Shao, Y Gong, Y Shen, M Huang…",
Text as Images: Can Multimodal Large Language Models Follow Printed Instructions in Pixels?,"… MathVista [18] focuses on systematically studying the mathematical reasoning capability in visual context. More recently, MMMU [41] is proposed to evaluate multimodal models in a …",https://arxiv.org/abs/2311.17647,2023,3,"X Li, Y Lu, Z Gan, J Gao, WY Wang, Y Choi",
"Zhujiu: A multi-dimensional, multi-faceted chinese benchmark for large language models","… With the continuous development of large language models (LLMs), the emergence of … We select the currently popular mathematical reasoning and text semantic reasoning tasks, and …",https://arxiv.org/abs/2308.14353,2023,1,"B Zhang, H Xie, P Du, J Chen, P Cao, Y Chen…",
Large language model guided tree-of-thought,"… Self-attention based auto-regressive large language models (… to handle various logical and mathematical reasoning tasks, … Recent advancements in large language models, particularly …",https://arxiv.org/abs/2305.08291,2023,272,J Long,
Utilizing Large Language Models for the Generation of Aspect-Based Sentiment Analysis Datasets,"… [13] evaluated ChatGPT’s ability in the mathematical domain using the Mathematical ASBA dataset and performed mathematical reasoning in different dimensions. In this article, we …",https://ieeexplore.ieee.org/abstract/document/10281255/,2023,2,"K Qiao, G Li, X Zeng, W Li",
Learning multi-step reasoning by solving arithmetic tasks,"… Mathematical reasoning is regarded as a necessary ability for Language Models (LMs). Re… Compare with large language models We also observe that, on relatively simple tasks, ie, …",https://arxiv.org/abs/2306.01707,2023,18,"T Wang, W Lu",
